Fecha_Cambio,TC_Soles_Dolares,TC_Soles_Euros
2002-02-01,3.4757,2.989
2002-02-04,3.4824,2.94
2002-02-05,3.4846,2.999
2002-02-06,3.4858,2.946
2002-02-07,3.4835,3.013
2002-02-08,3.4866,3.015
2002-02-11,3.484,2.995
2002-02-12,3.4738,3.024
2002-02-13,3.4738,2.999
2002-02-14,3.4737,2.982
2002-02-15,3.4679,3
2002-02-18,3.4675,2.935
2002-02-19,3.4705,3.019
2002-02-20,3.473,3.024
2002-02-21,3.475,2.985
2002-02-22,3.4787,3.028
2002-02-26,3.4739,2.995
2002-02-27,3.4723,2.953
2002-02-28,3.4693,3.012
2002-03-01,3.4696,2.997
2002-03-04,3.4683,2.986
2002-03-05,3.4617,2.989
2002-03-06,3.4582,3.002
2002-03-07,3.457,3.004
2002-03-08,3.4527,3.013
2002-03-11,3.4547,3.028
2002-03-12,3.4524,3.024
2002-03-13,3.4507,3.006
2002-03-14,3.4501,3.014
2002-03-15,3.4527,3.028
2002-03-18,3.4536,3.02
2002-03-19,3.4554,3.028
2002-03-20,3.4556,2.969
2002-03-21,3.4552,3.027
2002-03-22,3.4536,3.055
2002-03-25,3.4517,3.037
2002-03-26,3.4498,3.026
2002-03-27,3.4447,3.01
2002-04-01,3.4432,3.022
2002-04-02,3.451,3.008
2002-04-03,3.4488,3.035
2002-04-04,3.4458,3.031
2002-04-05,3.4435,3.034
2002-04-08,3.4439,3.013
2002-04-09,3.4419,3.026
2002-04-10,3.4413,3.013
2002-04-11,3.4422,3.024
2002-04-12,3.4392,3.025
2002-04-15,3.4378,3.031
2002-04-16,3.429,2.972
2002-04-17,3.4286,3.004
2002-04-18,3.4298,3.037
2002-04-19,3.4269,3.041
2002-04-22,3.428,3.037
2002-04-23,3.4311,3.041
2002-04-24,3.4351,3.032
2002-04-25,3.4372,3.068
2002-04-26,3.437,3.051
2002-04-29,3.4361,3.084
2002-04-30,3.4336,3.087
2002-05-02,3.4331,3.092
2002-05-03,3.4353,3.087
2002-05-06,3.4335,3.105
2002-05-07,3.4321,3.14
2002-05-08,3.4328,3.11
2002-05-09,3.4394,3.133
2002-05-10,3.4463,3.119
2002-05-13,3.4508,3.132
2002-05-14,3.4477,3.142
2002-05-15,3.4462,3.139
2002-05-16,3.4508,3.116
2002-05-17,3.4559,3.094
2002-05-20,3.4578,3.147
2002-05-21,3.4633,3.151
2002-05-22,3.4685,3.165
2002-05-23,3.4684,3.164
2002-05-24,3.4513,3.168
2002-05-27,3.4536,3.121
2002-05-28,3.4672,3.195
2002-05-29,3.4683,3.219
2002-05-30,3.4599,3.247
2002-05-31,3.4596,3.162
2002-06-03,3.4654,3.202
2002-06-04,3.4712,3.264
2002-06-05,3.4686,3.23
2002-06-07,3.4699,3.259
2002-06-10,3.4672,3.274
2002-06-11,3.466,3.239
2002-06-12,3.4695,3.272
2002-06-13,3.4646,3.268
2002-06-14,3.4621,3.258
2002-06-17,3.4628,3.26
2002-06-18,3.4674,3.27
2002-06-19,3.4739,3.278
2002-06-20,3.4894,3.351
2002-06-21,3.509,3.334
2002-06-24,3.5084,3.38
2002-06-25,3.4978,3.397
2002-06-26,3.5089,3.427
2002-06-27,3.5056,3.444
2002-06-28,3.5089,3.468
2002-07-01,3.5095,3.445
2002-07-02,3.518,3.473
2002-07-03,3.5233,3.441
2002-07-04,3.5228,3.366
2002-07-05,3.5361,3.41
2002-07-08,3.5371,3.363
2002-07-09,3.5355,3.492
2002-07-10,3.544,3.474
2002-07-11,3.553,3.505
2002-07-12,3.5443,3.511
2002-07-15,3.5364,3.357
2002-07-16,3.5313,3.518
2002-07-17,3.5373,3.554
2002-07-18,3.5345,3.562
2002-07-19,3.5281,3.567
2002-07-22,3.5168,3.534
2002-07-23,3.5248,3.412
2002-07-24,3.5364,3.414
2002-07-25,3.5423,3.449
2002-07-26,3.5336,3.478
2002-07-31,3.5508,3.412
2002-08-01,3.5545,3.413
2002-08-02,3.5413,3.441
2002-08-05,3.5435,3.408
2002-08-06,3.5546,3.387
2002-08-07,3.5521,3.409
2002-08-08,3.5335,3.349
2002-08-09,3.548,3.412
2002-08-12,3.5664,3.356
2002-08-13,3.5715,3.394
2002-08-14,3.5688,3.477
2002-08-15,3.5639,3.427
2002-08-16,3.5612,3.411
2002-08-19,3.5611,3.39
2002-08-20,3.5685,3.39
2002-08-21,3.5738,3.413
2002-08-22,3.5913,3.455
2002-08-23,3.5924,3.455
2002-08-26,3.5942,3.491
2002-08-27,3.6015,3.477
2002-08-28,3.6115,3.529
